Deleting copies...Done
Creating a copy of your module... Done
Loading mutators... Done
Verifying and timing your test suite
Took 7.50 seconds to run full test suite
Running mutants for index.js
MUTANT 176:	ROPM Line 25:	bold: [1, 22],	killed 7563 ms
MUTANT 177:	ROPM Line 26:	dim: [2, 22],	killed 7583 ms
MUTANT 178:	ROPM Line 27:	italic: [3, 23],	killed 4771 ms
MUTANT 179:	ROPM Line 28:	underline: [4, 24],	killed 5184 ms
MUTANT 180:	ROPM Line 29:	inverse: [7, 27],	killed 7302 ms
MUTANT 181:	ROPM Line 30:	hidden: [8, 28],	killed 8075 ms
MUTANT 182:	ROPM Line 31:	strikethrough: [9, 29]	killed 8736 ms
MUTANT 183:	ROPM Lines 33-52: Commented property color	killed 7611 ms
MUTANT 184:	ROPM Line 34:	black: [30, 39],	killed 8100 ms
MUTANT 185:	ROPM Line 35:	red: [31, 39],	killed 9336 ms
MUTANT 186:	ROPM Line 36:	green: [32, 39],	killed 8129 ms
MUTANT 187:	ROPM Line 37:	yellow: [33, 39],	killed 8531 ms
MUTANT 188:	ROPM Line 38:	blue: [34, 39],	killed 7882 ms
MUTANT 189:	ROPM Line 39:	magenta: [35, 39],	killed 8231 ms
MUTANT 190:	ROPM Line 40:	cyan: [36, 39],	killed 8109 ms
MUTANT 191:	ROPM Line 41:	white: [37, 39],	killed 8505 ms
MUTANT 192:	ROPM Line 42:	gray: [90, 39],	killed 7754 ms
MUTANT 193:	ROPM Line 45:	redBright: [91, 39],	killed 7874 ms
MUTANT 194:	ROPM Line 46:	greenBright: [92, 39],	killed 7985 ms
MUTANT 195:	ROPM Line 47:	yellowBright: [93, 39],	killed 8611 ms
MUTANT 196:	ROPM Line 48:	blueBright: [94, 39],	killed 9434 ms
MUTANT 197:	ROPM Line 49:	magentaBright: [95, 39],	killed 9549 ms
MUTANT 198:	ROPM Line 50:	cyanBright: [96, 39],	killed 9185 ms
MUTANT 199:	ROPM Line 51:	whiteBright: [97, 39]	killed 9380 ms
MUTANT 200:	ROPM Lines 53-72: Commented property bgColor	killed 9221 ms
MUTANT 201:	ROPM Line 54:	bgBlack: [40, 49],	killed 10270 ms
MUTANT 202:	ROPM Line 55:	bgRed: [41, 49],	killed 10964 ms
MUTANT 203:	ROPM Line 56:	bgGreen: [42, 49],	killed 8565 ms
MUTANT 204:	ROPM Line 57:	bgYellow: [43, 49],	killed 9016 ms
MUTANT 205:	ROPM Line 58:	bgBlue: [44, 49],	killed 9529 ms
MUTANT 206:	ROPM Line 59:	bgMagenta: [45, 49],	killed 9783 ms
MUTANT 207:	ROPM Line 60:	bgCyan: [46, 49],	killed 9297 ms
MUTANT 208:	ROPM Line 61:	bgWhite: [47, 49],	killed 10047 ms
MUTANT 209:	ROPM Line 64:	bgBlackBright: [100, 49],	killed 9593 ms
MUTANT 210:	ROPM Line 65:	bgRedBright: [101, 49],	killed 10485 ms
MUTANT 211:	ROPM Line 66:	bgGreenBright: [102, 49],	killed 9822 ms
MUTANT 212:	ROPM Line 67:	bgYellowBright: [103, 49],	killed 10068 ms
MUTANT 213:	ROPM Line 68:	bgBlueBright: [104, 49],	killed 10156 ms
MUTANT 214:	ROPM Line 69:	bgMagentaBright: [105, 49],	killed 10586 ms
MUTANT 215:	ROPM Line 70:	bgCyanBright: [106, 49],	killed 10493 ms
MUTANT 216:	ROPM Line 71:	bgWhiteBright: [107, 49]	killed 10589 ms
MUTANT 217:	ROPM Line 85:	open: `\u001B[${style[0]}m`,	killed 8994 ms
MUTANT 218:	ROPM Line 86:	close: `\u001B[${style[1]}m`	killed 10083 ms
MUTANT 219:	ROPM Line 95:	value: group,	killed 10507 ms
MUTANT 220:	ROPM Line 96:	enumerable: false	killed 10189 ms
MUTANT 221:	ROPM Line 100:	value: codes,	killed 9486 ms
MUTANT 222:	ROPM Line 101:	enumerable: false	killed 10303 ms
MUTANT 223:	ROPM Line 112:	ansi: wrapAnsi16(ansi2ansi, 0)	killed 9042 ms
MUTANT 224:	ROPM Line 115:	ansi256: wrapAnsi256(ansi2ansi, 0)	killed 7912 ms
MUTANT 225:	ROPM Line 118:	rgb: wrapAnsi16m(rgb2rgb, 0)	killed 9107 ms
MUTANT 226:	ROPM Line 122:	ansi: wrapAnsi16(ansi2ansi, 10)	killed 9498 ms
MUTANT 227:	ROPM Line 125:	ansi256: wrapAnsi256(ansi2ansi, 10)	killed 9786 ms
MUTANT 228:	ROPM Line 128:	rgb: wrapAnsi16m(rgb2rgb, 10)	killed 8859 ms
MUTANT 229:	ROPM Line 163:	enumerable: true,	killed 9451 ms
MUTANT 230:	ROPM Line 164:	get: assembleStyles	killed 8428 ms

Out of 230 mutants, 155 were killed, 75 survived and 0 were discarded
Mutant coverage: 67.39%

Deleting copies...Done
